201104	1
590703	1
613378	2
634778	2
634811	3
655534	3
655571	3
676637	4
676676	4
697328	4
697388	5
718530	5
740816	5
740871	5
762660	5
762695	5
784737	5
784757	5
806110	6
806130	6
828214	6
828264	6
850241	6
850297	6
871925	6
893756	6
915926	6
915950	6
915973	6
938195	6
938231	6
938233	6
959895	6
959948	6
982626	6
982705	6
1003918	6
1026039	6
1026091	6
1048182	6
1048192	5
1107046	1
1107121	1
1107127	1
1107132	1
1127941	1
1127978	1
1127981	1
1127983	1
1149760	1
1171738	2
1193728	2
1193764	3
1215989	3
1216035	3
1237187	4
1237225	4
1259538	4
1259593	4
1259597	5
1281917	5
1281964	5
1281968	5
1303332	5
1303352	6
1303353	6
1324083	6
1324123	6
1324126	6
1324127	6
1346473	6
1346528	6
1368402	6
1390473	6
1411889	7
1411944	7
1411948	7
1411950	7
1433957	7
1433993	7
1433996	7
1433998	8
1433999	8
1455962	8
1456012	8
1456016	8
1456019	8
1478121	8
1478171	9
1478174	9
1478177	9
1478180	9
1499959	9
1499979	9
1499980	9
1499981	9
1521308	9
1521342	9
1521363	9
1522383	8
1542568	8
1542578	8
1542580	7
1564389	7
1586510	7
1586531	7
1608559	7
1630567	7
1710353	1
1710409	1
1710415	1
1710420	1
1710425	1
1710432	1
1732585	1
1732631	1
1732634	1
1732637	1
1754752	1
1775601	2
1797386	2
1797398	3
1818433	3
1818453	3
1839896	4
1839945	4
1862149	4
1862198	4
1862202	5
1883900	5
1883938	5
1906357	5
1906412	5
1906441	5
1927408	5
1927464	5
1948439	5
1948494	6
1948497	6
1969399	6
1969448	6
1990862	6
1990902	6
2012194	6
2012204	5
2034334	5
2056264	6
2056301	6
2056304	6
2078123	6
2078162	6
2078165	6
2078167	7
2099364	7
2099403	7
2099405	7
2099407	7
2121576	7
2121635	7
2121638	6
2142655	6
2142707	6
2164584	6
2164619	6
2164622	6
2186077	6
2207829	6
2229962	6
2252156	6
2274522	6
2274583	6
2296450	6
2296493	7
2318556	7
2318577	7
2318578	7
2318579	7
2318580	7
2340170	7
2340208	7
2340229	7
2361218	7
2361269	7
2361273	8
2383169	8
2383209	8
2383212	8
2383214	8
2383216	8
