time	rtt
1619265872.876483	7.41
1619265872.987661	8.68
1619265873.099847	7.38
1619265873.211791	4.18
1619265873.320621	3.35
1619265873.427839	7.31
1619265873.538837	5.56
1619265873.648511	6.99
1619265873.759424	3.95
1619265873.867536	8.28
1619265873.980775	4.79
1619265874.089622	7.11
1619265874.20211	6.24
1619265874.312932	6.99
1619265874.424544	7.32
1619265874.535589	7.4
1619265874.646764	8.5
1619265874.760181	8.47
1619265874.872092	7.18
1619265874.983495	3.31
1619265875.091148	3.99
1619265875.199258	3.62
1619265875.307472	7.63
1619265875.419288	5.39
1619265875.529536	8.57
