time	cwnd
1619575688.410141	10.0
1619575688.424494	10.0
1619575688.438817	10.0
1619575688.454251	10.0
1619575688.468431	16.0
1619575688.482472	20.0
1619575688.496471	32.0
1619575688.510687	42.0
1619575688.52498	54.0
1619575688.538683	66.0
1619575688.553121	78.0
1619575688.567801	91.0
1619575688.582304	101.0
1619575688.597178	116.0
1619575688.610464	125.0
1619575688.624186	137.0
1619575688.638221	149.0
1619575688.652305	161.0
1619575688.6671	173.0
1619575688.681105	184.0
1619575688.695284	196.0
1619575688.711279	208.0
1619575688.725324	220.0
1619575688.741293	236.0
1619575688.757324	248.0
1619575688.773365	260.0
1619575688.787467	272.0
1619575688.802743	284.0
1619575688.816569	296.0
1619575688.830802	308.0
1619575688.8451	320.0
1619575688.859343	332.0
1619575688.874902	344.0
1619575688.889105	356.0
1619575688.903151	368.0
1619575688.917234	380.0
1619575688.931422	389.0
1619575688.945612	404.0
1619575688.959818	413.0
1619575688.973566	425.0
1619575688.988013	437.0
1619575689.002397	449.0
1619575689.016196	460.0
1619575689.030159	472.0
1619575689.044545	484.0
1619575689.059594	496.0
1619575689.074057	509.0
1619575689.088656	521.0
1619575689.102664	533.0
1619575689.116659	542.0
1619575689.130651	554.0
1619575689.144477	566.0
1619575689.158894	578.0
1619575689.1728	590.0
1619575689.187318	602.0
1619575689.201288	614.0
1619575689.216105	602.0
1619575689.230477	584.0
1619575689.244927	566.0
1619575689.258969	552.0
1619575689.272946	528.0
1619575689.289428	510.0
1619575689.303353	488.0
1619575689.317401	475.0
1619575689.331163	454.0
1619575689.345419	436.0
1619575689.359598	415.0
1619575689.373551	403.0
1619575689.387299	389.0
1619575689.401505	367.0
1619575689.415316	353.0
1619575689.430385	341.0
1619575689.445286	316.0
1619575689.460091	299.0
1619575689.473877	290.0
1619575689.487998	278.0
1619575689.503468	261.0
1619575689.517377	249.0
1619575689.532415	240.0
1619575689.54667	225.0
1619575689.560979	216.0
1619575689.574622	302.0
1619575689.58843	308.0
1619575689.60296	308.0
1619575689.617566	307.0
1619575689.632693	305.0
1619575689.646946	305.0
1619575689.661867	305.0
1619575689.676706	305.0
1619575689.691375	305.0
1619575689.705054	299.0
1619575689.719768	291.0
1619575689.734456	284.0
1619575689.7495	275.0
1619575689.763447	273.0
1619575689.777253	166.0
1619575689.791755	164.0
1619575689.807068	164.0
1619575689.82187	166.0
1619575689.83582	167.0
1619575689.850658	167.0
1619575689.864987	167.0
1619575689.880366	167.0
1619575689.894953	167.0
1619575689.909065	158.0
1619575689.924355	153.0
1619575689.939031	151.0
1619575689.954087	143.0
1619575689.968496	140.0
1619575689.983073	136.0
1619575689.999022	127.0
1619575690.013376	122.0
1619575690.026983	118.0
1619575690.041243	119.0
1619575690.054747	115.0
1619575690.069112	115.0
1619575690.082664	115.0
1619575690.096969	115.0
1619575690.110577	115.0
1619575690.124893	115.0
1619575690.138671	115.0
1619575690.15375	115.0
1619575690.168943	114.0
1619575690.182543	114.0
1619575690.197247	116.0
1619575690.211885	116.0
1619575690.22636	116.0
1619575690.23983	116.0
1619575690.254247	116.0
1619575690.268728	116.0
1619575690.282901	116.0
1619575690.298442	117.0
1619575690.312847	117.0
1619575690.327892	154.0
1619575690.341538	154.0
1619575690.356049	154.0
1619575690.370192	154.0
1619575690.384428	154.0
1619575690.40011	154.0
1619575690.415375	154.0
1619575690.430698	154.0
1619575690.445069	154.0
1619575690.459285	154.0
1619575690.473903	118.0
1619575690.489138	112.0
1619575690.505391	105.0
1619575690.519616	99.0
1619575690.53387	94.0
1619575690.54858	88.0
1619575690.563016	82.0
1619575690.578667	77.0
1619575690.593772	77.0
1619575690.609141	77.0
1619575690.624349	77.0
1619575690.639716	77.0
1619575690.654037	77.0
1619575690.669279	77.0
1619575690.682957	77.0
1619575690.696254	77.0
1619575690.710124	77.0
1619575690.723905	77.0
1619575690.738552	77.0
1619575690.753166	78.0
1619575690.767752	78.0
1619575690.781764	78.0
1619575690.79579	78.0
1619575690.810021	78.0
1619575690.824583	78.0
1619575690.838431	78.0
1619575690.853678	79.0
1619575690.868254	79.0
1619575690.882504	79.0
