time	qlen
1619575688.395869	0.0
1619575688.411172	0.0
1619575688.424133	2.0
1619575688.438196	0.0
1619575688.453531	3.0
1619575688.467412	0.0
1619575688.481565	7.0
1619575688.495565	6.0
1619575688.51057	12.0
1619575688.524553	16.0
1619575688.538634	18.0
1619575688.552552	20.0
1619575688.567496	24.0
1619575688.581251	28.0
1619575688.595284	34.0
1619575688.610328	36.0
1619575688.624218	41.0
1619575688.637244	43.0
1619575688.6513	47.0
1619575688.665271	51.0
1619575688.679319	53.0
1619575688.693284	59.0
1619575688.707299	62.0
1619575688.720259	66.0
1619575688.734349	70.0
1619575688.747257	74.0
1619575688.761295	80.0
1619575688.775054	82.0
1619575688.788321	85.0
1619575688.802333	91.0
1619575688.81621	93.0
1619575688.829243	97.0
1619575688.844263	99.0
1619575688.859282	100.0
1619575688.873303	100.0
1619575688.888124	99.0
1619575688.903393	99.0
1619575688.916895	99.0
1619575688.931221	99.0
1619575688.945226	100.0
1619575688.958209	100.0
1619575688.973235	100.0
1619575688.987378	100.0
1619575689.001282	100.0
1619575689.01537	100.0
1619575689.029348	99.0
1619575689.043644	100.0
1619575689.058626	100.0
1619575689.073606	99.0
1619575689.088639	99.0
1619575689.101696	99.0
1619575689.115616	100.0
1619575689.130512	99.0
1619575689.14447	100.0
1619575689.158479	100.0
1619575689.172472	100.0
1619575689.186803	100.0
1619575689.20128	99.0
1619575689.214629	99.0
1619575689.229634	99.0
1619575689.244569	99.0
1619575689.258399	99.0
1619575689.272389	99.0
1619575689.287463	98.0
1619575689.301443	100.0
1619575689.315415	99.0
1619575689.32949	99.0
1619575689.344474	99.0
1619575689.358821	99.0
1619575689.372723	99.0
1619575689.386835	99.0
1619575689.401029	99.0
1619575689.415318	99.0
1619575689.429267	99.0
1619575689.443408	99.0
1619575689.457316	99.0
1619575689.47138	100.0
1619575689.486325	100.0
1619575689.502624	99.0
1619575689.516378	99.0
1619575689.530779	99.0
1619575689.545389	99.0
1619575689.559468	100.0
1619575689.574387	99.0
1619575689.588405	98.0
1619575689.601604	98.0
1619575689.615704	96.0
