time	rtt
1619575577.548017	43.6
1619575587.803289	29.0
1619575587.935778	35.4
1619575588.074079	37.0
1619575588.214762	20.5
1619575588.338308	29.1
1619575588.471235	35.3
1619575588.610219	39.5
1619575588.754738	21.2
1619575588.879157	29.1
1619575589.012379	35.8
1619575589.152345	39.6
1619575589.295829	23.8
1619575589.422675	28.4
1619575589.555245	32.1
1619575589.690082	38.4
1619575589.831695	23.3
1619575589.959549	27.2
1619575590.090335	33.8
1619575590.226938	36.3
1619575590.367319	21.5
1619575590.49196	28.4
1619575590.623827	33.2
1619575590.759952	38.2
1619575590.901398	22.3
1619575591.029169	29.0
1619575591.161547	35.9
1619575591.30066	37.5
1619575591.441906	21.7
1619575591.568349	27.6
1619575591.699602	34.1
1619575591.836935	38.7
1619575591.979952	22.4
1619575592.106324	27.8
1619575592.238617	35.6
1619575592.377691	39.0
1619575592.520707	23.7
1619575592.648448	29.7
1619575592.780702	34.5
1619575592.918626	36.3
1619575593.058053	25.8
1619575593.187275	27.9
1619575593.318321	35.7
1619575593.456662	39.1
1619575593.599739	23.8
1619575593.728447	28.9
1619575593.860842	34.1
1619575604.102977	28.0
1619575604.23411	31.6
1619575614.473476	20.9
1619575614.596952	24.9
1619575614.725803	31.9
1619575614.861435	39.2
1619575615.003346	24.3
1619575615.131945	29.9
1619575615.266083	34.6
1619575625.507339	29.9
1619575625.640343	33.2
1619575625.776796	39.1
1619575625.91977	21.8
1619575626.044896	29.3
1619575626.177398	34.4
1619575626.315322	38.5
1619575626.45779	21.6
1619575626.583499	28.7
1619575626.715371	35.4
1619575636.958679	30.7
1619575637.092213	32.3
