time	qlen
1619575577.5517	0.0
1619575577.565613	0.0
1619575577.581798	2.0
1619575577.595198	0.0
1619575577.609821	2.0
1619575577.62479	4.0
1619575577.6389	5.0
1619575577.652792	9.0
1619575577.66681	9.0
1619575577.679801	10.0
1619575577.69308	10.0
1619575577.707831	9.0
1619575577.721853	9.0
1619575577.735886	9.0
1619575577.749833	8.0
1619575577.763843	10.0
1619575577.77782	9.0
1619575577.791821	9.0
1619575577.804871	8.0
1619575577.820823	8.0
1619575577.833844	6.0
1619575577.84783	4.0
1619575577.861832	3.0
1619575577.875485	2.0
1619575577.889868	3.0
1619575577.902869	2.0
1619575577.915845	3.0
1619575577.928714	5.0
1619575577.942887	3.0
1619575577.956712	5.0
1619575577.969872	4.0
1619575577.983954	5.0
1619575577.99793	4.0
1619575578.011848	5.0
1619575578.025691	5.0
1619575578.038864	7.0
1619575578.051873	6.0
1619575578.079383	7.0
1619575578.092884	7.0
1619575578.105967	6.0
1619575578.120928	7.0
1619575578.134957	8.0
1619575578.148927	7.0
1619575578.16388	7.0
1619575578.177565	7.0
1619575578.191133	8.0
1619575578.204935	8.0
1619575578.218885	7.0
1619575578.232855	8.0
1619575578.246001	8.0
1619575578.259762	8.0
1619575578.273385	8.0
1619575578.28648	8.0
1619575578.299799	9.0
1619575578.313914	9.0
1619575578.327923	9.0
1619575578.342946	10.0
1619575578.355896	9.0
1619575578.368889	8.0
1619575578.381913	9.0
1619575578.395011	10.0
1619575578.40794	8.0
1619575578.420964	7.0
1619575578.435081	2.0
1619575578.448923	3.0
1619575578.462962	3.0
1619575578.476962	2.0
1619575578.491188	3.0
1619575578.505968	2.0
1619575578.519977	4.0
1619575578.535043	3.0
1619575578.548973	4.0
1619575578.563976	3.0
1619575578.578012	4.0
1619575578.59298	4.0
1619575578.60804	4.0
1619575578.622022	4.0
1619575578.636062	5.0
1619575578.65	5.0
1619575578.664056	5.0
1619575578.679057	5.0
1619575578.693664	7.0
1619575578.707596	6.0
1619575578.721509	7.0
1619575578.735494	7.0
1619575578.750229	7.0
1619575578.763469	7.0
1619575578.777378	7.0
1619575578.792081	8.0
1619575578.80684	8.0
1619575578.8216	8.0
1619575578.835635	9.0
1619575578.850314	9.0
1619575578.864257	9.0
1619575578.877448	10.0
1619575578.892157	8.0
1619575578.906153	9.0
1619575578.920121	9.0
1619575578.934131	9.0
1619575578.948837	7.0
1619575578.962828	2.0
1619575578.977559	3.0
1619575578.9923	3.0
1619575579.007077	2.0
1619575579.021832	3.0
1619575579.037261	3.0
1619575579.051206	4.0
1619575579.066007	4.0
1619575579.07918	4.0
1619575579.093138	5.0
1619575579.107887	4.0
1619575579.121809	5.0
1619575579.135779	5.0
1619575579.149764	5.0
1619575579.163805	6.0
1619575579.177691	6.0
1619575579.190918	6.0
1619575579.205646	7.0
1619575579.221115	6.0
1619575579.235151	7.0
1619575579.249831	7.0
1619575579.263807	7.0
1619575579.276965	8.0
1619575579.290977	7.0
1619575579.304885	8.0
1619575579.318129	8.0
1619575579.332025	8.0
1619575579.346008	8.0
1619575579.361068	8.0
1619575579.375824	8.0
1619575579.389759	9.0
1619575579.404464	9.0
1619575579.420053	9.0
1619575579.434836	9.0
1619575579.447925	9.0
1619575579.461902	10.0
1619575579.476603	9.0
1619575579.489844	10.0
1619575579.503956	9.0
1619575579.517757	9.0
1619575579.531709	4.0
1619575579.545692	4.0
1619575579.559678	2.0
1619575579.573665	3.0
1619575579.58761	3.0
1619575579.601572	2.0
1619575579.617051	5.0
1619575579.632574	3.0
1619575579.646587	3.0
1619575579.660527	4.0
1619575579.674998	3.0
1619575579.689266	4.0
1619575579.703245	4.0
1619575579.717183	5.0
1619575579.731152	5.0
1619575579.745884	6.0
1619575579.759831	5.0
1619575579.774595	7.0
1619575579.788487	5.0
1619575579.80171	7.0
1619575579.816454	8.0
1619575579.830412	7.0
1619575579.844389	7.0
1619575579.858417	7.0
1619575579.872276	7.0
1619575579.886247	7.0
1619575579.901036	8.0
1619575579.915044	8.0
1619575579.928952	8.0
1619575579.942961	8.0
1619575579.956838	9.0
1619575579.970879	9.0
1619575579.984029	9.0
1619575579.998816	10.0
1619575580.012731	9.0
1619575580.027504	10.0
1619575580.041484	9.0
1619575580.056196	10.0
1619575580.070128	9.0
1619575580.083353	9.0
1619575580.09758	9.0
1619575580.11234	9.0
1619575580.127829	2.0
1619575580.140978	5.0
1619575580.15421	3.0
1619575580.168154	2.0
1619575580.182159	2.0
1619575580.195312	3.0
1619575580.209277	3.0
1619575580.222488	3.0
1619575580.236409	4.0
1619575580.249678	4.0
1619575580.26354	5.0
1619575580.27682	5.0
1619575580.289845	5.0
1619575580.303118	5.0
1619575580.316178	5.0
1619575580.330257	6.0
1619575580.344229	7.0
1619575580.358185	7.0
1619575580.371788	7.0
1619575580.385088	6.0
1619575580.398006	7.0
1619575580.410786	6.0
1619575580.424434	6.0
1619575580.439663	8.0
1619575580.453587	7.0
1619575580.46833	7.0
1619575580.483082	9.0
1619575580.497046	8.0
1619575580.512553	8.0
1619575580.527285	8.0
1619575580.541255	9.0
1619575580.554451	9.0
1619575580.567337	10.0
1619575580.580834	9.0
1619575580.59404	10.0
1619575580.608759	9.0
1619575580.622016	9.0
1619575580.636737	9.0
1619575580.650726	10.0
1619575580.665442	9.0
1619575580.680184	9.0
1619575580.694142	6.0
1619575580.708881	2.0
1619575580.722609	2.0
1619575580.737103	3.0
1619575580.751139	2.0
1619575580.765037	2.0
1619575580.779004	3.0
1619575580.792994	3.0
1619575580.806952	3.0
1619575580.820866	3.0
1619575580.83406	4.0
1619575580.849828	4.0
1619575580.863541	4.0
1619575580.877516	4.0
1619575580.892238	6.0
1619575580.906993	5.0
1619575580.920951	5.0
1619575580.934924	7.0
1619575580.951237	6.0
