time	qlen
1619575813.754302	199.0
1619575813.769914	199.0
1619575813.78392	199.0
1619575813.798097	199.0
1619575813.812909	200.0
1619575813.82704	199.0
1619575813.841832	199.0
1619575813.857132	199.0
1619575813.870972	200.0
1619575813.885582	199.0
1619575813.89941	200.0
1619575813.913091	199.0
1619575813.927429	200.0
1619575813.941672	200.0
1619575813.955142	200.0
1619575813.969133	200.0
1619575813.983132	200.0
1619575813.997858	199.0
1619575814.011084	200.0
1619575814.024677	200.0
1619575814.039544	199.0
1619575814.054639	200.0
1619575814.069352	200.0
1619575814.084039	199.0
1619575814.097685	200.0
1619575814.111296	200.0
1619575814.125445	199.0
1619575814.138763	199.0
1619575814.153576	199.0
1619575814.167447	200.0
1619575814.183093	199.0
1619575814.198265	199.0
1619575814.212303	198.0
1619575814.22739	200.0
1619575814.241963	198.0
1619575814.255999	195.0
1619575814.270788	199.0
1619575814.284825	200.0
1619575814.298107	199.0
1619575814.312194	197.0
1619575814.325514	196.0
1619575814.339503	197.0
1619575814.354363	195.0
1619575814.367698	200.0
1619575814.381765	199.0
1619575814.395088	200.0
1619575814.409847	200.0
1619575814.423907	198.0
1619575814.437978	200.0
1619575814.451662	199.0
1619575814.465675	199.0
1619575814.479708	199.0
1619575814.494782	200.0
1619575814.507978	198.0
1619575814.521278	199.0
1619575814.534456	200.0
1619575814.547743	199.0
1619575814.560975	200.0
1619575814.574658	197.0
1619575814.589082	197.0
1619575814.603197	199.0
1619575814.616691	200.0
1619575814.630851	199.0
1619575814.644826	198.0
1619575814.658123	197.0
1619575814.671148	198.0
1619575814.683858	196.0
1619575814.697169	196.0
1619575814.711104	197.0
1619575814.724442	200.0
1619575814.738397	199.0
1619575814.753023	199.0
1619575814.767012	198.0
1619575814.78133	198.0
1619575814.79564	200.0
1619575814.80952	198.0
1619575814.822878	195.0
1619575814.835969	199.0
1619575814.849933	197.0
1619575814.863819	197.0
1619575814.877785	197.0
1619575814.890931	197.0
1619575814.904262	197.0
1619575814.917428	200.0
1619575814.931374	197.0
1619575814.945999	199.0
1619575814.959888	197.0
1619575814.973096	196.0
1619575814.987748	195.0
1619575815.001639	195.0
1619575815.016203	195.0
1619575815.030185	195.0
1619575815.044251	197.0
1619575815.058299	197.0
1619575815.072961	199.0
1619575815.086958	196.0
1619575815.100994	196.0
1619575815.115189	198.0
1619575815.129119	196.0
1619575815.14308	196.0
1619575815.157692	196.0
1619575815.171673	195.0
1619575815.185645	198.0
1619575815.199733	198.0
1619575815.213732	195.0
1619575815.228279	198.0
1619575815.242965	197.0
1619575815.256753	196.0
1619575815.270785	196.0
1619575815.28531	195.0
1619575815.300587	195.0
1619575815.315301	197.0
1619575815.329272	195.0
1619575815.343842	198.0
1619575815.357739	197.0
1619575815.372278	197.0
1619575815.385746	199.0
1619575815.400298	197.0
1619575815.414248	195.0
1619575815.428237	195.0
1619575815.442871	196.0
1619575815.456977	199.0
1619575815.470892	198.0
1619575815.484665	197.0
1619575815.498849	199.0
1619575815.513296	196.0
1619575815.527722	198.0
1619575815.541621	197.0
1619575815.555062	197.0
1619575815.569637	195.0
1619575815.584258	195.0
1619575815.598206	196.0
1619575815.612133	196.0
1619575815.626893	199.0
1619575815.641356	196.0
1619575815.65597	198.0
1619575815.669174	199.0
1619575815.68314	196.0
1619575815.697109	197.0
1619575815.710985	196.0
1619575815.724956	196.0
1619575815.737844	199.0
1619575815.751331	197.0
1619575815.764434	197.0
1619575815.778189	199.0
1619575815.791157	198.0
1619575815.805213	197.0
1619575815.819303	198.0
1619575815.833425	197.0
1619575815.847069	197.0
1619575815.860219	198.0
1619575815.874229	198.0
1619575815.887587	199.0
1619575815.901282	198.0
1619575815.915213	197.0
1619575815.929207	197.0
1619575815.94279	199.0
1619575815.956318	197.0
1619575815.969688	197.0
1619575815.983026	197.0
1619575815.996607	196.0
1619575816.010593	199.0
1619575816.024192	198.0
1619575816.038131	197.0
1619575816.051604	200.0
1619575816.065486	196.0
1619575816.078976	195.0
1619575816.092525	191.0
1619575816.106583	190.0
1619575816.120353	185.0
1619575816.133191	183.0
1619575816.146811	181.0
1619575816.160159	177.0
1619575816.173201	176.0
1619575816.18704	171.0
1619575816.20117	165.0
1619575816.215127	161.0
1619575816.228612	157.0
1619575816.242623	152.0
1619575816.256143	146.0
1619575816.26956	140.0
1619575816.283088	136.0
1619575816.296332	133.0
1619575816.309706	128.0
1619575816.323217	126.0
1619575816.337013	124.0
1619575816.350847	123.0
1619575816.365151	120.0
1619575816.379656	121.0
1619575816.393404	122.0
1619575816.406953	122.0
1619575816.420966	125.0
1619575816.434371	129.0
1619575816.448847	124.0
1619575816.462655	123.0
1619575816.476349	124.0
1619575816.489845	123.0
1619575816.5025	123.0
1619575816.516402	123.0
1619575816.529513	123.0
1619575816.543025	125.0
1619575816.557573	126.0
1619575816.57212	125.0
1619575816.586341	126.0
1619575816.600258	126.0
1619575816.613441	128.0
1619575816.62654	124.0
1619575816.639891	121.0
1619575816.652917	118.0
1619575816.666863	116.0
1619575816.680305	112.0
1619575816.693319	110.0
1619575816.706443	105.0
1619575816.719939	101.0
1619575816.732762	101.0
1619575816.746697	96.0
1619575816.760286	95.0
1619575816.77467	92.0
1619575816.788206	94.0
1619575816.801812	90.0
1619575816.815254	90.0
1619575816.829257	87.0
1619575816.843074	85.0
1619575816.857081	86.0
1619575816.870821	86.0
1619575816.884822	87.0
1619575816.898576	86.0
1619575816.913304	86.0
1619575816.927407	83.0
1619575816.941076	84.0
1619575816.954738	85.0
1619575816.968501	86.0
1619575816.98248	86.0
1619575816.995797	86.0
1619575817.009847	84.0
1619575817.025456	83.0
1619575817.039936	83.0
1619575817.054547	85.0
1619575817.067804	84.0
1619575817.081894	82.0
1619575817.095845	83.0
1619575817.109312	82.0
1619575817.123842	83.0
1619575817.137444	83.0
1619575817.150421	84.0
1619575817.163842	84.0
1619575817.176565	85.0
1619575817.190933	84.0
1619575817.204188	82.0
1619575817.217946	84.0
1619575817.231983	85.0
1619575817.245691	85.0
1619575817.259121	85.0
1619575817.272771	84.0
1619575817.285302	84.0
1619575817.299305	83.0
1619575817.31263	84.0
1619575817.327042	84.0
1619575817.340478	84.0
1619575817.354728	83.0
