1619608010.330826, 0
1619608010.344338, 0
1619608010.358316, 2
1619608010.373249, 0
1619608010.387372, 3
1619608010.402285, 4
1619608010.417515, 6
1619608010.431428, 7
1619608010.446272, 12
1619608010.460335, 18
1619608010.474270, 20
1619608010.487354, 21
1619608010.501315, 24
1619608010.514302, 30
1619608010.529292, 34
1619608010.543362, 36
1619608010.557315, 39
1619608010.571353, 44
1619608010.584373, 46
1619608010.598370, 51
1619608010.613319, 56
1619608010.627523, 61
1619608010.641299, 63
1619608010.654300, 67
1619608010.668286, 71
1619608010.680962, 75
1619608010.693818, 79
1619608010.708885, 84
1619608010.723070, 88
1619608010.736839, 92
1619608010.750889, 96
1619608010.764954, 100
1619608010.778937, 103
1619608010.793436, 107
1619608010.806933, 111
1619608010.821038, 116
1619608010.835188, 118
1619608010.849974, 124
1619608010.864045, 129
1619608010.878556, 133
1619608010.893573, 138
1619608010.908558, 141
1619608010.922607, 146
1619608010.936562, 149
1619608010.950575, 154
1619608010.965079, 158
1619608010.978832, 162
1619608010.994316, 165
1619608011.009294, 170
1619608011.024362, 174
1619608011.038354, 178
1619608011.052258, 182
1619608011.066177, 186
1619608011.079230, 191
1619608011.093215, 195
1619608011.107399, 200
1619608011.122516, 200
1619608011.135567, 199
1619608011.149508, 200
1619608011.163719, 199
1619608011.177606, 199
1619608011.191701, 199
1619608011.205572, 200
1619608011.220576, 200
1619608011.234392, 199
1619608011.247318, 199
1619608011.260869, 199
1619608011.274661, 198
1619608011.288582, 200
1619608011.302628, 199
1619608011.316701, 199
1619608011.330623, 199
1619608011.344141, 200
1619608011.357877, 200
1619608011.371642, 199
1619608011.384163, 200
1619608011.397399, 199
1619608011.410670, 199
1619608011.424687, 199
1619608011.437656, 199
1619608011.451726, 199
1619608011.465644, 200
1619608011.478772, 200
1619608011.492753, 200
1619608011.506741, 200
1619608011.520702, 199
1619608011.535940, 200
1619608011.549776, 199
1619608011.563871, 200
1619608011.577777, 200
1619608011.591867, 199
1619608011.606858, 199
1619608011.621872, 199
1619608011.635929, 199
1619608011.649820, 199
1619608011.663940, 199
1619608011.677794, 200
1619608011.691929, 200
1619608011.704789, 200
1619608011.718798, 199
1619608011.732814, 199
1619608011.746833, 199
1619608011.760812, 200
1619608011.774812, 199
1619608011.788803, 199
1619608011.802946, 199
1619608011.816497, 200
1619608011.829719, 199
1619608011.844424, 199
1619608011.857989, 200
1619608011.871986, 200
1619608011.886109, 199
1619608011.900082, 199
1619608011.914043, 198
1619608011.928083, 199
