time	bandwidth
31.8	10.4
31.9	10.4
32.0	10.4
32.1	5.21
32.2	10.4
32.3	10.4
32.4	10.4
32.5	5.21
32.6	10.4
32.7	15.6
32.8	10.4
32.9	5.21
33.0	10.4
33.1	10.4
33.2	5.21
33.3	10.4
33.4	10.4
33.5	10.4
33.6	10.4
33.7	10.4
33.8	10.4
33.9	10.4
34.0	5.21
34.1	10.4
34.2	10.4
34.3	10.4
34.4	10.4
34.5	5.21
34.6	10.4
34.7	10.4
34.8	10.4
34.9	5.21
35.0	15.6
35.1	10.4
35.2	5.21
35.3	10.4
35.4	10.4
35.5	10.4
35.6	10.4
35.7	5.21
35.8	10.4
35.9	10.4
36.0	5.21
36.1	10.4
36.2	15.6
36.3	10.4
36.4	5.21
36.5	10.4
36.6	10.4
36.7	10.4
36.8	5.21
36.9	10.4
37.0	10.4
37.1	10.4
37.2	5.21
37.3	15.6
37.4	10.4
37.5	10.4
37.6	5.21
37.7	10.4
37.8	10.4
37.9	10.4
38.0	5.21
38.1	10.4
38.2	10.4
38.3	10.4
38.4	5.21
38.5	15.6
38.6	10.4
38.7	10.4
38.8	5.21
38.9	10.4
39.0	10.4
39.1	10.4
39.2	5.21
39.3	10.4
39.4	10.4
39.5	10.4
39.6	5.21
39.7	10.4
39.8	10.4
39.9	15.6
40.0	5.21
40.1	10.4
40.2	10.4
40.3	10.4
40.4	5.21
40.5	10.4
40.6	10.4
40.7	10.4
40.8	5.21
40.9	10.4
41.0	15.6
41.1	10.4
41.2	5.21
41.3	10.4
41.4	10.4
41.5	10.4
41.6	5.21
41.7	10.4
41.8	10.4
41.9	10.4
42.0	5.21
42.1	10.4
42.2	10.4
42.3	15.6
42.4	5.21
42.5	10.4
42.6	10.4
42.7	10.4
42.8	10.4
42.9	5.21
43.0	10.4
43.1	10.4
43.2	5.21
43.3	15.6
43.4	10.4
43.5	5.21
43.6	10.4
43.7	10.4
43.8	10.4
43.9	5.21
44.0	10.4
44.1	10.4
44.2	10.4
44.3	10.4
44.4	10.4
44.5	10.4
44.6	10.4
44.7	5.21
44.8	10.4
44.9	10.4
45.0	5.21
45.1	10.4
45.2	15.6
45.3	10.4
45.4	5.21
45.5	10.4
45.6	10.4
45.7	10.4
45.8	5.21
45.9	10.4
46.0	10.4
46.1	10.4
46.2	5.21
46.3	15.6
46.4	10.4
46.5	5.21
46.6	10.4
46.7	10.4
46.8	10.4
46.9	10.4
47.0	5.21
47.1	10.4
47.2	10.4
47.3	10.4
47.4	10.4
47.5	5.21
47.6	10.4
47.7	15.6
47.8	5.21
47.9	10.4
48.0	10.4
48.1	10.4
48.2	10.4
48.3	5.21
48.4	10.4
48.5	10.4
48.6	10.4
48.7	5.21
48.8	10.4
48.9	10.4
49.0	10.4
49.1	5.21
49.2	10.4
49.3	15.6
49.4	10.4
49.5	5.21
49.6	10.4
49.7	10.4
49.8	10.4
49.9	5.21
50.0	10.4
50.1	15.6
50.2	5.21
50.3	10.4
50.4	10.4
50.5	10.4
50.6	5.21
50.7	10.4
50.8	10.4
50.9	10.4
51.0	5.21
51.1	15.6
51.2	10.4
51.3	10.4
51.4	5.21
51.5	10.4
51.6	10.4
51.7	5.21
51.8	10.4
51.9	10.4
52.0	10.4
52.1	5.21
52.2	10.4
52.3	10.4
52.4	10.4
52.5	15.6
52.6	5.21
52.7	10.4
52.8	10.4
52.9	5.21
53.0	10.4
53.1	10.4
53.2	10.4
53.3	5.21
53.4	15.6
53.5	10.4
53.6	5.21
53.7	10.4
53.8	10.4
53.9	10.4
54.0	5.21
54.1	10.4
54.2	10.4
54.3	10.4
54.4	10.4
54.5	10.4
54.6	10.4
54.7	10.4
54.8	5.21
54.9	10.4
55.0	10.4
55.1	10.4
55.2	5.21
55.3	10.4
55.4	10.4
55.5	10.4
55.6	5.21
55.7	10.4
55.8	15.6
55.9	10.4
56.0	5.21
56.1	10.4
56.2	10.4
56.3	10.4
56.4	5.21
56.5	10.4
56.6	10.4
56.7	10.4
56.8	5.21
56.9	15.6
57.0	10.4
57.1	10.4
57.2	5.21
57.3	10.4
57.4	10.4
57.5	10.4
57.6	5.21
57.7	10.4
57.8	10.4
57.9	10.4
58.0	5.21
58.1	10.4
58.2	15.6
58.3	10.4
58.4	5.21
58.5	10.4
58.6	10.4
58.7	5.21
58.8	10.4
58.9	10.4
59.0	15.6
59.1	5.21
59.2	10.4
59.3	10.4
59.4	10.4
59.5	5.21
59.6	10.4
59.7	10.4
59.8	10.4
59.9	10.4
60.0	5.21
