time	cwnd
1619575811.948142	10.0
1619575811.966092	10.0
1619575811.979844	10.0
1619575811.994587	10.0
1619575812.008668	10.0
1619575812.022637	16.0
1619575812.036673	20.0
1619575812.051116	32.0
1619575812.064967	44.0
1619575812.079136	54.0
1619575812.092576	66.0
1619575812.108299	78.0
1619575812.122295	92.0
1619575812.136807	104.0
1619575812.151827	113.0
1619575812.165906	125.0
1619575812.179837	140.0
1619575812.194491	152.0
1619575812.208994	161.0
1619575812.223033	176.0
1619575812.237796	187.0
1619575812.251471	196.0
1619575812.266055	211.0
1619575812.279814	220.0
1619575812.295071	233.0
1619575812.309091	245.0
1619575812.322794	257.0
1619575812.337071	266.0
1619575812.351083	278.0
1619575812.364812	290.0
1619575812.379098	302.0
1619575812.393018	314.0
1619575812.406501	326.0
1619575812.421024	338.0
1619575812.436036	350.0
1619575812.451097	364.0
1619575812.46719	376.0
1619575812.482132	391.0
1619575812.498055	403.0
1619575812.51414	416.0
1619575812.529118	428.0
1619575812.543481	440.0
1619575812.557283	449.0
1619575812.572307	463.0
1619575812.587418	475.0
1619575812.602779	487.0
1619575812.61838	500.0
1619575812.633586	515.0
1619575812.649506	527.0
1619575812.665612	539.0
1619575812.680066	551.0
1619575812.693974	563.0
1619575812.708774	575.0
1619575812.722765	587.0
1619575812.73662	599.0
1619575812.750117	608.0
1619575812.764095	620.0
1619575812.778111	632.0
1619575812.792114	644.0
1619575812.806692	658.0
1619575812.821108	667.0
1619575812.834454	680.0
1619575812.848978	692.0
1619575812.863073	704.0
1619575812.87681	713.0
1619575812.890539	725.0
1619575812.904811	737.0
1619575812.918843	749.0
1619575812.933205	761.0
1619575812.947034	770.0
1619575812.961331	782.0
1619575812.975376	794.0
1619575812.989064	806.0
1619575813.003172	817.0
1619575813.016743	829.0
1619575813.03144	841.0
1619575813.045639	853.0
1619575813.059923	863.0
1619575813.073939	875.0
1619575813.088297	887.0
1619575813.101958	899.0
1619575813.116496	911.0
1619575813.129989	923.0
1619575813.143561	932.0
1619575813.158213	947.0
1619575813.173034	959.0
1619575813.187608	971.0
