time	rtt
1619575811.948572	44.6
1619575812.098292	85.6
1619575812.28711	274.0
1619575812.66558	651.0
1619575813.422153	711.0
1619575814.236462	334.0
1619575814.675336	282.0
1619575815.061342	277.0
1619575815.442197	276.0
1619575815.822777	277.0
1619575816.202631	262.0
1619575816.567571	179.0
1619575816.850591	180.0
1619575817.134938	184.0
1619575817.42225	185.0
1619575817.711341	188.0
1619575818.003268	188.0
1619575818.295098	192.0
1619575818.58991	193.0
1619575818.885653	194.0
1619575819.18341	194.0
1619575819.48147	197.0
1619575819.782657	200.0
1619575820.086401	204.0
1619575820.394018	203.0
1619575820.700516	203.0
1619575821.007341	208.0
1619575821.318249	210.0
1619575821.633368	210.0
1619575821.948953	212.0
1619575822.264188	213.0
1619575822.581038	216.0
1619575822.899882	217.0
1619575823.221224	221.0
1619575823.545406	221.0
1619575823.870017	225.0
1619575824.198114	225.0
1619575824.526583	228.0
1619575824.857723	228.0
1619575825.188857	230.0
1619575825.522049	232.0
1619575825.857841	233.0
1619575826.194425	235.0
1619575826.532834	237.0
1619575826.874841	239.0
1619575827.216862	239.0
1619575827.560085	244.0
1619575827.907377	243.0
1619575828.253522	248.0
1619575828.605379	248.0
1619575828.958275	249.0
1619575829.311913	254.0
1619575829.669519	253.0
1619575830.026098	256.0
1619575830.386122	254.0
1619575830.744323	258.0
1619575831.106161	261.0
1619575831.470719	260.0
1619575831.834132	265.0
1619575832.204164	266.0
1619575832.574646	267.0
1619575832.945395	269.0
1619575833.317804	271.0
1619575833.693083	270.0
1619575834.067219	271.0
1619575834.442354	274.0
1619575834.820609	277.0
1619575835.200958	279.0
1619575835.58418	280.0
1619575835.967796	282.0
1619575836.356081	283.0
1619575836.74252	288.0
1619575837.134353	288.0
1619575837.526628	287.0
1619575837.917726	290.0
1619575838.31205	291.0
1619575838.705932	292.0
1619575839.101187	294.0
1619575839.499025	295.0
1619575839.897181	297.0
1619575840.296917	298.0
1619575840.698406	299.0
1619575841.101393	301.0
1619575841.506714	303.0
1619575841.914088	306.0
1619575842.323775	306.0
1619575842.733684	314.0
1619575843.15121	311.0
1619575843.565908	311.0
1619575843.979773	315.0
1619575844.396996	315.0
1619575844.815587	315.0
1619575845.234224	318.0
1619575845.656474	320.0
1619575846.079516	319.0
1619575846.502157	325.0
1619575846.930883	327.0
1619575847.36159	326.0
1619575847.792064	327.0
1619575848.223089	332.0
1619575848.659747	329.0
1619575849.092339	333.0
1619575849.529563	336.0
1619575849.970017	334.0
1619575850.407559	337.0
1619575850.848201	340.0
1619575851.291903	340.0
1619575851.735659	343.0
1619575852.182331	344.0
1619575852.629361	346.0
1619575853.079414	348.0
1619575853.530655	348.0
1619575853.983073	351.0
1619575854.43721	352.0
1619575854.892789	354.0
1619575855.351459	354.0
1619575855.809754	355.0
1619575856.268379	359.0
1619575856.732212	359.0
1619575857.19531	362.0
1619575857.662053	362.0
1619575858.128333	366.0
1619575858.597959	367.0
1619575859.068675	368.0
1619575859.540156	368.0
1619575860.020454	372.0
1619575860.496918	375.0
1619575860.974495	374.0
1619575861.452116	375.0
1619575861.931016	376.0
1619575862.41048	378.0
1619575862.891841	380.0
1619575863.375718	384.0
1619575863.863454	382.0
1619575864.348308	384.0
1619575864.83614	384.0
1619575865.324517	390.0
1619575865.818715	394.0
